index,response
1,"You arrive at the airport for your flight, but there is no sign of any planes or activity."
2,You wake up in a room and can't remember how you got there or what happened before.
3,"You receive a call informing you that a loved one has been involved in a serious accident, but the details are vague."
4,"You hear strange noises coming from your attic or basement, but you can't find the source."
5,You receive a letter or email with cryptic messages that you can't quite decipher.
6,You're hiking in the woods and come across an abandoned cabin with signs of recent activity.
7,You're driving in a remote area and suddenly lose all cell phone reception and GPS.
8,"You smell smoke in your building, but can't find the source or any other signs of a fire."
9,You receive a package or envelope with no return address and can't discern its contents.
10,You receive an anonymous message warning you of impending danger.
11,You're watching a news broadcast and it's unclear what exactly is unfolding in a foreign country.
12,"You find the same item in different locations or situations, but it's not clear why or how."
13,"You enter a crowded room and everyone immediately goes quiet, staring at you."
14,You receive conflicting information from sources you trust about a certain event or situation.
15,You're exploring an old or abandoned building with an unknown history or purpose.
16,You come across a group of people behaving strangely or engaging in suspicious activities.
17,You wake up with unexplained injuries or symptoms.
18,You're lost in a maze or labyrinth with unclear rules or directions.
19,You're trapped in an elevator or other confined space and can't contact anyone for help.
20,"You're a witness to a crime or accident, but the details are murky and unclear."
21,You're in a social situation and can't tell if someone is being genuine or manipulative.
22,You're on a boat or ship and suddenly lose all communication with the outside world.
23,"You're driving and encounter a police checkpoint or roadblock, but can't determine the reason."
24,You experience sensory deprivation or overload and can't discern what's real or imagined.
25,You hear voices or noises that can't be attributed to any particular source or person.
26,You're surrounded by people who are all speaking a language you don't understand.
27,You take a wrong turn while driving and end up in a new or unfamiliar place with no clear direction home.
28,You come across an animal or creature that you can't identify or is not supposed to exist.
29,You're in a dark room or environment and can't see what's in front of you or around you.
30,You're exploring an underground or hidden location with an uncertain history or function.
31,You're in a situation where people are speaking in code or using unfamiliar terminology.
32,You're on a train or plane and suddenly the destination or route changes without explanation.
33,You receive an unexpected visit or phone call from someone you don't know.
34,You're caught in a severe storm or natural disaster with unclear rescue or evacuation procedures.
35,You witness strange lights or phenomena in the sky that defy explanation.
36,You're in a situation where people are wearing masks or hidden identities.
37,You come across an object or artifact that has unknown origins or purpose.
38,"You're in a situation where everyone is acting as if they know you, but you have no recollection of them."
39,You receive a cryptic message or letter that appears to be from your future self.
