index,response
1,A foot race.
2,A math competition.
3,A chess tournament.
4,A cooking competition.
5,A spelling bee.
6,A dance-off.
7,A beauty pageant.
8,A singing competition.
9,A poetry slam.
10,A video game tournament.
11,A weight lifting competition.
12,A marathon.
13,A debate.
14,A talent show.
15,A fishing derby.
16,A robotics competition.
17,A dodgeball game.
18,A trivia contest.
19,A spelling contest.
20,A costume contest.
21,A hackathon.
22,A paintball war.
23,A card game tournament.
24,A karaoke contest.
25,A basketball game.
26,A hackathon.
27,A tennis match.
28,A rowing competition.
29,A triathlon.
30,A relay race.
31,A swim meet.
32,A public speaking competition.
33,A writing contest.
34,A puzzle challenge.
35,A photography competition.
36,A car race.
37,A debate competition.
38,A spelling bee competition.
39,A puzzle solving contest.
40,A puzzle making competition.
41,A painting contest.
42,A sculpture competition.
43,A fashion competition.
44,A fashion show.
45,A coding competition.
46,A baking competition.
47,A cooking competition.
48,A junior olympics competition.
49,A cheerleading competition.
50,A spelling game.
51,A card game competition.
52,A spelling tournament.
53,A board game competition.
54,A band competition.
55,A dance competition.
56,A mixture of different competitions.
57,A running competition.
58,A track competition.
59,A swimming competition.
60,A diving competition.
61,A gymnastics competition.
62,A volleyball game.
63,A handball game.
64,A fencing competition.
65,A football game.
66,A basketball tournament.
67,A soccer tournament.
68,A hockey game.
69,A table tennis game.
70,A badminton game.
71,A judo competition.
72,A roller derby.
73,A veteran competition.
74,A talent competition.
75,A podcasting competition.
76,A bet competition.
77,A playing game.
78,A chess game.
79,A draughts game.
80,A go game.
81,A video game.
82,A space pong game.
83,A circle game.
84,A team quiz.
85,An intelligence quiz.
86,A survival game.
87,A work competition.
88,A self-improvement competition.
89,A public speaking competition.
90,A writing competition.
91,A scientific investigation competition.
92,A research competition.
93,A professional skill competition.
94,A software competition.
95,A music competition.
96,A movie competition.
97,A reality show.
98,A sports competition.
99,A social media contest.
100,A platformer game.
