index,labels,FUNDER_001,FUNDER_002,FUNDER_003,FUNDER_004,FUNDER_005,FUNDER_006,FUNDER_007,FUNDER_008,FUNDER_009,FUNDER_010,FUNDER_011,FUNDER_012,FUNDER_013,FUNDER_014,FUNDER_015,FUNDER_016,FUNDER_017,FUNDER_018,FUNDER_019,FUNDER_020,FUNDER_021,FUNDER_022,FUNDER_023,FUNDER_024,FUNDER_025,FUNDER_026,FUNDER_027,FUNDER_028,FUNDER_029,FUNDER_030,FUNDER_031,FUNDER_032,FUNDER_033,FUNDER_034,FUNDER_035,FUNDER_036,FUNDER_037,FUNDER_038,FUNDER_039,FUNDER_040,FUNDER_041,FUNDER_042,FUNDER_043,FUNDER_044,FUNDER_045,FUNDER_046,FUNDER_047,FUNDER_048,FUNDER_049,FUNDER_050,FUNDER_051,FUNDER_052,FUNDER_053,FUNDER_054,FUNDER_055,FUNDER_056,FUNDER_057,FUNDER_058,FUNDER_059,FUNDER_060,FUNDER_061,FUNDER_062,FUNDER_063,FUNDER_064,FUNDER_065,FUNDER_066,FUNDER_067,FUNDER_068,FUNDER_069,FUNDER_070,FUNDER_071,FUNDER_072,FUNDER_073,FUNDER_074,FUNDER_075,FUNDER_076,FUNDER_077,FUNDER_078,FUNDER_079,FUNDER_080,FUNDER_081,FUNDER_082,FUNDER_083,FUNDER_084,FUNDER_085,FUNDER_086,FUNDER_087,FUNDER_088,FUNDER_089,FUNDER_090,FUNDER_091,FUNDER_092,FUNDER_093,FUNDER_094,FUNDER_095,FUNDER_096,FUNDER_097,FUNDER_098,FUNDER_099,FUNDER_100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.02,0,0,0,0,0,0,0,.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,.14,0,0,0,0,.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.52,0,0,0,0,0,0,0,0,0,0,0,.01,.05,0,.1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,.01,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,.01,.01,0,0,.65,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,.09,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,.02,0,.02,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.18,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.04,0,0,0,0,0,0,0,0,.7,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,.01,0,0,0,0,0,0,0,.04,0,0,0,0,0,0,0,0,0,0,0,0,.24,0,0,0,0,0,0,0,.32,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.18,0,.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.05,0,0,0,0,0,0,0,0,.23,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.45,0,0,0,0,0,0,0,.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.04,0,0,0,0,.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.25,0,0,0,0,0,0,0,0,0,0,.05,0,0,0,0,0,0,0,0,.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.02,0,.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
